step 17272 | loss: 3.074058 | lr: 0.000144 | norm: 0.2014 | time: 1138.42ms | tok/sec: 460541.45
step 17273 | loss: 3.106590 | lr: 0.000144 | norm: 0.1912 | time: 1137.74ms | tok/sec: 460816.69
step 17274 | loss: 3.036102 | lr: 0.000144 | norm: 0.1991 | time: 1139.66ms | tok/sec: 460039.97
step 17275 | loss: 3.070115 | lr: 0.000144 | norm: 0.2072 | time: 1140.30ms | tok/sec: 459780.46
step 17276 | loss: 3.005449 | lr: 0.000144 | norm: 0.2034 | time: 1143.80ms | tok/sec: 458374.69
step 17277 | loss: 2.998410 | lr: 0.000144 | norm: 0.1947 | time: 1138.95ms | tok/sec: 460326.75
step 17278 | loss: 2.987506 | lr: 0.000144 | norm: 0.1997 | time: 1139.20ms | tok/sec: 460223.38
step 17279 | loss: 3.000253 | lr: 0.000144 | norm: 0.1976 | time: 1138.87ms | tok/sec: 460359.04
step 17280 | loss: 3.049243 | lr: 0.000144 | norm: 0.2058 | time: 1139.29ms | tok/sec: 460186.40
step 17281 | loss: 3.055141 | lr: 0.000144 | norm: 0.1997 | time: 1138.26ms | tok/sec: 460602.80
step 17282 | loss: 3.035709 | lr: 0.000144 | norm: 0.2058 | time: 1139.08ms | tok/sec: 460272.51
step 17283 | loss: 3.028829 | lr: 0.000144 | norm: 0.1982 | time: 1137.91ms | tok/sec: 460748.14
step 17284 | loss: 2.967468 | lr: 0.000144 | norm: 0.2099 | time: 1141.55ms | tok/sec: 459275.74
step 17285 | loss: 3.046618 | lr: 0.000144 | norm: 0.1971 | time: 1139.13ms | tok/sec: 460253.72
step 17286 | loss: 3.017791 | lr: 0.000144 | norm: 0.2127 | time: 1137.94ms | tok/sec: 460734.63
step 17287 | loss: 3.102298 | lr: 0.000144 | norm: 0.2229 | time: 1136.56ms | tok/sec: 461292.97
step 17288 | loss: 3.138512 | lr: 0.000144 | norm: 0.2022 | time: 1139.95ms | tok/sec: 459921.62
step 17289 | loss: 3.074460 | lr: 0.000144 | norm: 0.2148 | time: 1138.00ms | tok/sec: 460710.40
step 17290 | loss: 3.132060 | lr: 0.000144 | norm: 0.2095 | time: 1137.98ms | tok/sec: 460719.28
step 17291 | loss: 3.115924 | lr: 0.000144 | norm: 0.2176 | time: 1140.74ms | tok/sec: 459602.49
step 17292 | loss: 3.110252 | lr: 0.000144 | norm: 0.2291 | time: 1138.98ms | tok/sec: 460312.49
step 17293 | loss: 3.132528 | lr: 0.000144 | norm: 0.2103 | time: 1137.27ms | tok/sec: 461006.24
step 17294 | loss: 3.153197 | lr: 0.000144 | norm: 0.2349 | time: 1137.01ms | tok/sec: 461112.57
step 17295 | loss: 3.128993 | lr: 0.000143 | norm: 0.2320 | time: 1140.91ms | tok/sec: 459535.06
step 17296 | loss: 3.090380 | lr: 0.000143 | norm: 0.2063 | time: 1141.59ms | tok/sec: 459259.43
step 17297 | loss: 3.099445 | lr: 0.000143 | norm: 0.2118 | time: 1140.06ms | tok/sec: 459878.92
step 17298 | loss: 3.190099 | lr: 0.000143 | norm: 0.2829 | time: 1139.20ms | tok/sec: 460223.00
step 17299 | loss: 3.040009 | lr: 0.000143 | norm: 0.2045 | time: 1139.98ms | tok/sec: 459910.18
validation loss: 62.0709
step 17300 | loss: 3.063744 | lr: 0.000143 | norm: 0.2111 | time: 2332.59ms | tok/sec: 224766.50
step 17301 | loss: 3.074747 | lr: 0.000143 | norm: 0.2083 | time: 1140.03ms | tok/sec: 459890.27
step 17302 | loss: 3.062830 | lr: 0.000143 | norm: 0.2155 | time: 1142.88ms | tok/sec: 458742.46
step 17303 | loss: 3.064573 | lr: 0.000143 | norm: 0.2113 | time: 1140.92ms | tok/sec: 459532.38
step 17304 | loss: 3.091702 | lr: 0.000143 | norm: 0.2279 | time: 1139.21ms | tok/sec: 460221.94
step 17305 | loss: 3.117262 | lr: 0.000143 | norm: 0.1860 | time: 1135.96ms | tok/sec: 461537.53
step 17306 | loss: 3.026969 | lr: 0.000143 | norm: 0.2127 | time: 1138.49ms | tok/sec: 460510.30
step 17307 | loss: 3.151483 | lr: 0.000143 | norm: 0.2077 | time: 1137.19ms | tok/sec: 461040.06
step 17308 | loss: 3.106388 | lr: 0.000143 | norm: 0.1949 | time: 1136.28ms | tok/sec: 461408.92
step 17309 | loss: 3.018082 | lr: 0.000143 | norm: 0.2235 | time: 1138.74ms | tok/sec: 460409.54
step 17310 | loss: 3.036984 | lr: 0.000143 | norm: 0.2134 | time: 1140.29ms | tok/sec: 459784.01
